,nombre_proyecto,moneda,precio,tamaño,dormitorios,baños,unidades_disp,link
41,Manantial del Llano,UF,3255,56 a 72 m² útiles,2 a 3 dormitorios,1 a 2 baños,90 unidades disponibles,https://www.portalinmobiliario.com/MLC-514563431-manantial-del-llano-_JM#position=42&search_layout=grid&type=item&tracking_id=d1161269-4843-4ec5-af51-0d4022d5b8cc
42,Condominio Edificios Santa Blanca,UF,2116,41 a 63 m² útiles,1 a 3 dormitorios,1 a 2 baños,16 unidades disponibles,https://www.portalinmobiliario.com/MLC-1696084944-condominio-edificios-santa-blanca-_JM#position=43&search_layout=grid&type=item&tracking_id=d1161269-4843-4ec5-af51-0d4022d5b8cc
43,Ferroparque,UF,1660,20 a 50 m² útiles,1 a 3 dormitorios,2 baños,79 unidades disponibles,https://www.portalinmobiliario.com/MLC-1588029168-ferroparque-_JM#position=44&search_layout=grid&type=item&tracking_id=d1161269-4843-4ec5-af51-0d4022d5b8cc
44,Costaventura Ii,UF,2000,29 a 51 m² útiles,1 a 3 dormitorios,1 baño,5 unidades disponibles,https://www.portalinmobiliario.com/MLC-585755183-costaventura-ii-_JM#position=45&search_layout=grid&type=item&tracking_id=d1161269-4843-4ec5-af51-0d4022d5b8cc
45,Condominio Las Palmas,UF,2774,33 a 70 m² útiles,1 a 3 dormitorios,1 a 2 baños,6 unidades disponibles,https://www.portalinmobiliario.com/MLC-1929096104-condominio-las-palmas-_JM#position=46&search_layout=grid&type=item&tracking_id=d1161269-4843-4ec5-af51-0d4022d5b8cc
46,Parque Mackenna,UF,2568,25 a 51 m² útiles,1 a 2 dormitorios,1 a 2 baños,116 unidades disponibles,https://www.portalinmobiliario.com/MLC-2031841778-parque-mackenna-_JM#position=47&search_layout=grid&type=item&tracking_id=d1161269-4843-4ec5-af51-0d4022d5b8cc
47,Edificio Infinite,UF,5198,81 a 105 m² útiles,2 a 3 dormitorios,3 baños,3 unidades disponibles,https://www.portalinmobiliario.com/MLC-1560948630-edificio-infinite-_JM#position=48&search_layout=grid&type=item&tracking_id=d1161269-4843-4ec5-af51-0d4022d5b8cc
0,Laguna De La Pirámide II,UF,5690,49 a 190 m² útiles,1 a 3 dormitorios,1 a 2 baños,41 unidades disponibles,https://www.portalinmobiliario.com/MLC-1576936944-laguna-de-la-piramide-ii-_JM#position=1&search_layout=grid&type=item&tracking_id=60d40080-8aa3-4cbf-93ae-7470eb6ecdae
1,Ciudad A.V,UF,9274,63 a 127 m² útiles,1 a 2 dormitorios,2 a 3 baños,15 unidades disponibles,https://www.portalinmobiliario.com/MLC-2065569048-ciudad-av-_JM#position=2&search_layout=grid&type=item&tracking_id=60d40080-8aa3-4cbf-93ae-7470eb6ecdae
2,Pie de Monte,UF,2060,36 a 61 m² útiles,1 a 2 dormitorios,1 a 2 baños,13 unidades disponibles,https://www.portalinmobiliario.com/MLC-1457441927-pie-de-monte-_JM#position=3&search_layout=grid&type=item&tracking_id=60d40080-8aa3-4cbf-93ae-7470eb6ecdae
3,Alto Lo Cañas,UF,3602,48 a 73 m² útiles,2 a 3 dormitorios,2 baños,44 unidades disponibles,https://www.portalinmobiliario.com/MLC-1600010580-alto-lo-canas-_JM#position=4&search_layout=grid&type=item&tracking_id=60d40080-8aa3-4cbf-93ae-7470eb6ecdae
4,San Pablo de Curauma II,UF,2233,43 a 62 m² útiles,2 a 3 dormitorios,1 a 2 baños,103 unidades disponibles,https://www.portalinmobiliario.com/MLC-1599932216-san-pablo-de-curauma-ii-_JM#position=5&search_layout=grid&type=item&tracking_id=60d40080-8aa3-4cbf-93ae-7470eb6ecdae
5,Cerro Colorado,UF,1300,47 a 70 m² útiles,2 a 3 dormitorios,1 baño,160 unidades disponibles,https://www.portalinmobiliario.com/MLC-1399756907-cerro-colorado-_JM#position=6&search_layout=grid&type=item&tracking_id=60d40080-8aa3-4cbf-93ae-7470eb6ecdae
6,Condominio Caiquen,UF,2115,36 a 62 m² útiles,2 a 3 dormitorios,1 a 2 baños,6 unidades disponibles,https://www.portalinmobiliario.com/MLC-1459298111-condominio-caiquen-_JM#position=7&search_layout=grid&type=item&tracking_id=60d40080-8aa3-4cbf-93ae-7470eb6ecdae
7,Paseo Los Leones,UF,8882,86 a 106 m² útiles,2 a 3 dormitorios,2 baños,15 unidades disponibles,https://www.portalinmobiliario.com/MLC-1569116080-paseo-los-leones-_JM#position=8&search_layout=grid&type=item&tracking_id=60d40080-8aa3-4cbf-93ae-7470eb6ecdae
